wl,n
0.331,2.4625
0.334,2.4635
0.336,2.4648
0.337,2.4661
0.339,2.4675
0.341,2.4685
0.344,2.4689
0.348,2.4690
0.350,2.4685
0.352,2.4677
0.356,2.4663
0.359,2.4650
0.363,2.4627
0.364,2.4626
0.369,2.4621
0.373,2.4610
0.375,2.4604
0.376,2.4601
0.377,2.4598
0.378,2.4596
0.380,2.4590
0.382,2.4585
0.385,2.4577
0.386,2.4556
0.387,2.4553
0.389,2.4546
0.394,2.4519
0.395,2.4514
0.397,2.4496
0.400,2.4491
0.401,2.4490
0.404,2.4474
0.406,2.4451
0.412,2.4445
0.413,2.4444
0.417,2.4442
0.418,2.4441
0.422,2.4412
0.425,2.4392
0.427,2.4379
0.428,2.4371
0.430,2.4355
0.432,2.4340
0.434,2.4324
0.435,2.4318
0.439,2.4295
0.441,2.4283
0.444,2.4265
0.448,2.4240
0.449,2.4234
0.452,2.4215
0.454,2.4204
0.456,2.4192
0.460,2.4155
0.464,2.4131
0.470,2.4114
0.471,2.4111
0.472,2.4108
0.476,2.4095
0.479,2.4090
0.482,2.4086
0.483,2.4086
0.488,2.4084
0.489,2.4084
0.493,2.4087
0.495,2.4089
0.496,2.4089
0.503,2.4092
0.507,2.4096
0.513,2.4101
0.522,2.4113
0.526,2.4130
0.528,2.4138
0.530,2.4155
0.534,2.4164
0.540,2.4174
0.542,2.4177
0.546,2.4188
0.553,2.4193
0.555,2.4194
0.563,2.4198
0.567,2.4207
0.570,2.4216
0.571,2.4218
0.574,2.4222
0.582,2.4225
0.587,2.4223
0.588,2.4222
0.594,2.4216
0.605,2.4213
0.606,2.4213
0.618,2.4212
0.625,2.4200
0.627,2.4197
0.630,2.4174
0.636,2.4152
0.645,2.4139
0.648,2.4135
0.659,2.4111
0.667,2.4086
0.670,2.4068
0.678,2.4063
0.689,2.4056
0.690,2.4056
0.708,2.4053
0.714,2.4005
0.735,2.4038
0.740,2.4032
0.751,2.4020
0.769,2.4005
0.770,2.4004
0.790,2.3991
0.800,2.3971
0.803,2.3965
0.813,2.3942
0.823,2.3922
0.831,2.3908
0.833,2.3907
0.842,2.3900
0.857,2.3891
0.870,2.3887
0.879,2.3884

wl,k
0.331,0.0000
0.334,0.0000
0.336,0.0000
0.337,0.0000
0.339,0.0000
0.341,0.0000
0.344,0.0000
0.348,0.0000
0.350,0.0000
0.352,0.0000
0.356,0.0000
0.359,0.0000
0.363,0.0000
0.364,0.0000
0.369,0.0000
0.373,0.0000
0.375,0.0000
0.376,0.0000
0.377,0.0000
0.378,0.0000
0.380,0.0000
0.382,0.0000
0.385,0.0000
0.386,0.0000
0.387,0.0000
0.389,0.0000
0.394,0.0000
0.395,0.0000
0.397,0.0000
0.400,0.0000
0.401,0.0000
0.404,0.0000
0.406,0.0000
0.412,0.0000
0.413,0.0000
0.417,0.0000
0.418,0.0000
0.422,0.0000
0.425,0.0000
0.427,0.0000
0.428,0.0000
0.430,0.0000
0.432,0.0000
0.434,0.0000
0.435,0.0000
0.439,0.0000
0.441,0.0000
0.444,0.0000
0.448,0.0000
0.449,0.0000
0.452,0.0000
0.454,0.0000
0.456,0.0000
0.460,0.0000
0.464,0.0000
0.470,0.0000
0.471,0.0000
0.472,0.0000
0.476,0.0000
0.479,0.0000
0.482,0.0000
0.483,0.0000
0.488,0.0000
0.489,0.0000
0.493,0.0000
0.495,0.0000
0.496,0.0000
0.503,0.0000
0.507,0.0000
0.513,0.0000
0.522,0.0000
0.526,0.0000
0.528,0.0000
0.530,0.0000
0.534,0.0000
0.540,0.0000
0.542,0.0000
0.546,0.0000
0.553,0.0000
0.555,0.0000
0.563,0.0000
0.567,0.0000
0.570,0.0000
0.571,0.0000
0.574,0.0000
0.582,0.0000
0.587,0.0000
0.588,0.0000
0.594,0.0000
0.605,0.0000
0.606,0.0000
0.618,0.0000
0.625,0.0000
0.627,0.0000
0.630,0.0000
0.636,0.0000
0.645,0.0000
0.648,0.0000
0.659,0.0000
0.667,0.0000
0.670,0.0000
0.678,0.0000
0.689,0.0000
0.690,0.0000
0.708,0.0000
0.714,0.0000
0.735,0.0000
0.740,0.0000
0.751,0.0000
0.769,0.0000
0.770,0.0000
0.790,0.0000
0.800,0.0000
0.803,0.0000
0.813,0.0000
0.823,0.0000
0.831,0.0000
0.833,0.0000
0.842,0.0000
0.857,0.0000
0.870,0.0000
0.879,0.0000
